Number,Title,Description,Labels,Status,Repository,Assignees,CreatedAt,UpdatedAt,ClosedAt,URL,access-control,accessibility,accommodations,admin,advocacy,advocate,alerts,algorithm,analytics,articles,audio,audit,automation,behavior,cases,charts,checklist,cognitive,collaboration,communication,comparison,compliance,concerns,confirmation,consent,contrast,dashboard,data-retention,deadlines,detection,directory,documents,email,epic:accessibility,epic:file-mgmt,epic:legal-kb,epic:lineage,epic:meeting-prep,epic:mobile-advocate,epic:mobile-parent,epic:mobile-teacher,epic:notifications,epic:progress-viz,epic:security,epic:smart-prompts,escalation,exit,export,ferpa,goals,graphs,i18n,inactivity,knowledge-base,legal,letters,library,lineage,localization,logging,lre,media,meetings,messaging,mobile,nlp,notes,notifications,ocr,organization,parent,parent-input,pdf,placement,preferences,preparation,priority:critical,priority:high,priority:low,priority:medium,privacy,profile,progress,questions,readability,reminders,resources,screen-reader,security,services,settings,sharing,smart-prompts,state-regulations,students,summary,tagging,teacher,templates,text-size,text-to-speech,timeline,timelines,tracking,upload,viewer,vision,visualization,wcag
41,Ui - add firebase google login,,,Todo,ASKIEP/iepapp,,2026-01-11T20:59:44Z,2026-01-11T20:59:44Z,,https://github.com/ASKIEP/iepapp/issues/41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,(manage) - Get updated AWS ses credentials,For sending email,,Todo,ASKIEP/iepapp,srikrithikadileep,2026-01-11T21:00:25Z,2026-01-11T21:00:25Z,,https://github.com/ASKIEP/iepapp/issues/42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,(manage) setup playstore Account and test Accouns,,,Todo,ASKIEP/iepapp,srikrithikadileep,2026-01-11T21:01:11Z,2026-01-11T21:01:11Z,,https://github.com/ASKIEP/iepapp/issues/43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,(manage) Get Apple app store credentials and certificate,,,Todo,ASKIEP/iepapp,srikrithikadileep,2026-01-11T21:01:43Z,2026-01-11T21:01:43Z,,https://github.com/ASKIEP/iepapp/issues/44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,User profile screen api & ui,,,Todo,ASKIEP/iepapp,,2026-01-11T21:34:37Z,2026-01-11T21:34:37Z,,https://github.com/ASKIEP/iepapp/issues/46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Forget password (ui and api),,,Todo,ASKIEP/iepapp,,2026-01-11T21:34:52Z,2026-01-11T21:34:52Z,,https://github.com/ASKIEP/iepapp/issues/47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Mobile - setupui layout,,,Todo,ASKIEP/iepapp,,2026-01-18T02:06:41Z,2026-01-18T02:06:41Z,,https://github.com/ASKIEP/iepapp/issues/52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Mobile - setup routes,,,Todo,ASKIEP/iepapp,,2026-01-18T02:06:54Z,2026-01-18T02:06:54Z,,https://github.com/ASKIEP/iepapp/issues/53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Mobile - integrate parent functionalities,,,Todo,ASKIEP/iepapp,,2026-01-18T02:07:57Z,2026-01-18T02:07:57Z,,https://github.com/ASKIEP/iepapp/issues/54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Mobile - integrate advocate functionalities,,,Todo,ASKIEP/iepapp,,2026-01-18T02:08:15Z,2026-01-18T02:08:15Z,,https://github.com/ASKIEP/iepapp/issues/55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
